Semana,Ciudad,Marca,Store ID,Store Name,Cocina,Avg RTWT (limpio),Current Size (m),Final Size (m)
18/5/2026,Bogotá,Burritos & Co - Turbo,CO900488278,Burritos & Co Arrecife - Turbo,Arrecife,1.0,3000.0,3000.0
18/5/2026,Bogotá,Selvatiko. - Turbo,CO900488992,Selvatiko Arrecife - Turbo,Arrecife,,3000.0,3000.0
18/5/2026,Bogotá,Cinnabon - Turbo,CO900488282,Cinnabon Arrecife - Turbo,Arrecife,,3000.0,3000.0
18/5/2026,Bogotá,Ñamgucheria Sandwiches - Turbo,CO900488970,Ñamgucheria Arrecife - Turbo,Arrecife,,3000.0,3000.0
18/5/2026,Bogotá,Doritos Locos By Dorito - Turbo,CO900488774,Doritosclocos By Doritos Arrecife - Turbo,Arrecife,,3000.0,3000.0
18/5/2026,Bogotá,Desayuno Mi Tierrita - Turbo,CO900488770,Desayuno Mi Tierrita Arrecife - Turbo,Arrecife,,3000.0,3000.0
18/5/2026,Bogotá,Local Cocina Consciente - Turbo,CO900489031,Local Cocina Consciente Arrecife - Turbo,Arrecife,,3000.0,3000.0
18/5/2026,Bogotá,The Breakfast Club - Turbo,CO900489002,The Breakfast Club Arrecife - Turbo,Arrecife,,3000.0,3000.0
18/5/2026,Bogotá,Mañanero Diario - Turbo,CO900488961,Mañanero Diario Arrecife - Turbo,Arrecife,,3000.0,3000.0
18/5/2026,Bogotá,Bottaniko - Turbo,CO900488274,Bottaniko Arrecife - Turbo,Arrecife,,3000.0,3000.0
25/5/2026,Bogotá,Brunch & Munch - Turbo,CO900420520,Brunch And Munch - Colina - Turbo,Colina,9.68,2400.0,2100.0
25/5/2026,Cali,Brunch & Munch - Turbo,CO900405252,Brunch & Munch Cali - San Fernando - Turbo,San Fernando,9.64,2400.0,2100.0
25/5/2026,Cali,Desayuno Mi Tierrita - Turbo,CO900465165,Desayuno Mi Tierrita Santa Monica Cali - Turbo,Santa Mónica,9.39,2400.0,2400.0
25/5/2026,Bogotá,Dembow - Turbo,CO900475131,Dembow Cl 109 - Turbo,Calle 109,8.58,2400.0,2400.0
25/5/2026,Bogotá,Dembow - Turbo,CO900473653,Dembow - Kennedy - Turbo,Kennedy,8.47,3000.0,2700.0
25/5/2026,Bogotá,Desayuno Mi Tierrita - Turbo,CO900476019,Desayuno Mi Tierrita Chico - Turbo,Chicó,7.95,2400.0,2100.0
25/5/2026,Bogotá,Local Cocina Consciente - Turbo,CO900489031,Local Cocina Consciente Arrecife - Turbo,Arrecife,7.92,3000.0,2700.0
25/5/2026,Bogotá,Alba Vegetarian - Turbo,CO900443013,Alba Vegetarian - Colina - Turbo Carrera 53  264,Colina,7.59,2700.0,2400.0
25/5/2026,Bogotá,Mr Beast Burger - Turbo,CO900477182,Mr Beast Chico - Turbo,Chicó,7.43,2400.0,2100.0
25/5/2026,Bogotá,Desayuno Mi Tierrita - Turbo,CO900464390,Desayuno Mi Tierrita Cl 109 - Turbo,Calle 109,7.33,2400.0,2100.0
25/5/2026,Cali,Brunch & Munch - Turbo,CO900472747,Brunch & Munch - Ingenio - Turbo,Ingenio,7.25,2400.0,2100.0
25/5/2026,Bogotá,Desayunos de la Abuela - Turbo,CO900446310,Desayunos de la Abuela Colina - Turbo,Colina,7.13,2400.0,2100.0
25/5/2026,Bogotá,Selvatiko. - Turbo,CO900465173,Selvatiko. 93 - Turbo,Parque 93 / Castellana,6.98,2400.0,2400.0
25/5/2026,Cali,Mr Beast Burger - Turbo,CO900405272,Mr Beast San Fernando - Turbo,San Fernando,6.92,2400.0,2100.0
25/5/2026,Bogotá,Desayunos de la Abuela - Turbo,CO900446320,Desayunos de la Abuela Chico - Turbo,Chicó,6.87,2700.0,2400.0
25/5/2026,Bogotá,The Breakfast Club - Turbo,CO900475281,The Breakfast Club Colina - Turbo,Colina,6.69,2400.0,2100.0
25/5/2026,Bogotá,Numa Cocina Mediterranea - Turbo,CO900488968,Numa Cocina Mediterranea Arrecife - Turbo,Arrecife,6.64,3000.0,2700.0
25/5/2026,Bogotá,The Breakfast Club - Turbo,CO900463743,The Breakfast Club Cl 109 - Turbo,Calle 109,6.62,2400.0,2400.0
25/5/2026,Bogotá,Cacerola - Turbo,CO900473673,Cacerola - Colina - Turbo,Colina,6.42,2400.0,2400.0
25/5/2026,Bogotá,Ñamgucheria Sandwiches - Turbo,CO900440314,Ñamgucheria Chicó - Turbo,Chicó,6.31,2400.0,2100.0
25/5/2026,Bogotá,Mr Beast Burger - Turbo,CO900420302,Mr Beast Colina - Turbo,Colina,6.28,2400.0,2400.0
25/5/2026,Bogotá,Desayuno Mi Tierrita - Turbo,CO900465158,Desayuno Mi Tierrita Usaquén - Turbo,Usaquén,6.23,2400.0,2400.0
